ZIP_CODE,REGION,County,ResponseId,DistributionChannel,Q1.Intro,Q3.Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45,,,,,,,,,,
90603,SouthernCalifornia,Los Angeles,R_1KcKudIt1ZSefGC,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Lack of knowledge, information, or resources",,No,,,,,,,,No,,,"Defensible space,Grazing for fuels reduction,Permitting for fuels mitigation work",,"Field tours to local properties,In-person workshops,Watching short videos",,Email,,,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
90621,SouthernCalifornia,Orange,R_1mfR86Lg7xwZwUx,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased a backup power source (e.g., generator),Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Lack of knowledge, information, or resources,Permitting",,Yes,"Burning piles of cut trees and brush,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Targeted grazing",,Hired a contractor,,Out of pocket,,,Yes,"Access to equipment,Information about prescribed fire benefits,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Home hardening,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Newspaper,Social media ",,Rural,0-5 acres,"Livestock/grazing,Recreation",,No,31-40,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
90631,SouthernCalifornia,Orange,R_3Gs46BjhrQiNZlr,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Time",,No,,,,,,,,,,,"Ecosystem restoration,Evacuation planning,Home hardening",,"Reading factsheets,Watching short videos,Webinars",,"Email,Website",,Rural,0-5 acres,"Livestock/grazing,Wildlife habitat",,No,Over 70,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,Prefer not to state,,,,,,,,,,
90713,SouthernCalifornia,Los Angeles,R_2qx5X3rqqAZ7jDM,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling",,,No,,,,,,,,Unsure,"Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about prescribed fire benefits,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Ecosystem restoration,Evacuation planning",,"Field tours to local properties,In-person workshops,Reading factsheets,Webinars",,Email,,Urban,,"Not applicable, my property is only used for residential use",,,18-30,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
90720,SouthernCalifornia,Orange,R_3QMI5VsxmreULXH,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Lack of knowledge, information, or resources",,No,,,,,,,,No,Help preparing my property to conduct a prescribed burn,,"Home hardening,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Radio,Social media ,Telephone,Text Message,Website",,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
90720,SouthernCalifornia,Orange,R_2UY3Zvg188ZxLyc,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,Yes,Weed trimming and/or mowing grass,,Did it myself,,Out of pocket,,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Watching short videos,Webinars",,"Email,In-person,Text Message",,,,,,,,Man,,White,,English,,,,,,,,,,,,
90746,SouthernCalifornia,Los Angeles,R_1LiXfExIXbSbJP7,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations,Time",,No,,,,,,,,,,,"Defensible space,Evacuation planning,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops",,"Email,Social media ,Text Message,Website",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
90815,SouthernCalifornia,Los Angeles,R_2b3PuNN4NwEZR1V,anonymous,Yes,No,Other (please specify):,Other (please specify),I don’t live in a fire area.,No,,,,,,,,No,,,Reducing health impacts from wildfire smoke,,Webinars,,"Email,Mail,Radio",,,,,,,,Man,,White,,English,,,,,,,,,,,,
91001,SouthernCalifornia,Los Angeles,R_AyBzLbi9e3RHFCh,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Availability of contractors,Cost,Permitting",,No,,,,,,,,No,,,"Ecosystem restoration,Grazing for fuels reduction,Reducing health impacts from wildfire smoke",,Reading factsheets,,Radio,,,,,,,,Man,,White,,English,,,,,,,,,,,,
91006,SouthernCalifornia,Los Angeles,R_0Ai2KLiXEulyYr7,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator)","Cost,Existing home design constraints,Time",,No,,,,,,,,,,,"Evacuation planning,Prescribed fire planning and implementation,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Reading factsheets,Watching short videos",,"Email,Social media ,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
91016,SouthernCalifornia,Los Angeles,R_1pFkTBzYSv3fVvz,anonymous,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops,Webinars",,"Email,Website",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
91101,SouthernCalifornia,Los Angeles,R_Z1xDUoX7crpkY6d,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Communicating with my landlord or property manager,Cost,Time",,No,,,,,,,,,,,"Ecosystem restoration,Evacuation planning,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets,Webinars",,"Email,Newspaper,Radio,Telephone",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,41-50,Woman,,"Hispanic, Latino/a/x, or other Spanish origin,White",,English,,"Greater than $150,000 per year",,,,,,,,,,
91104,SouthernCalifornia,Los Angeles,R_29h9mYdJd8nIV7E,anonymous,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Existing home design constraints,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping)",,Did it myself,,Out of pocket,,,,,,Reducing health impacts from wildfire smoke,,"Community events or town halls,Field tours to local properties,In-person workshops",,Email,,Rural,21-100 acres,"Not applicable, my property is only used for residential use",,No,Prefer not to answer,Prefer not to answer,,Prefer not to answer,,Prefer not to answer,,Prefer not to state,,,,,,,,,,
91123,SouthernCalifornia,Los Angeles,R_30wn6W7oyXEWWUc,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources,Time",,Yes,"Burning piles of cut trees and brush,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Targeted grazing,Weed trimming and/or mowing grass",,Worked with neighbors or community group,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Access to equipment,Help preparing my property to conduct a prescribed burn,Information about prescribed fire benefits",,"Ecosystem restoration,Evacuation planning,Home hardening",,"Community events or town halls,Field tours to local properties,Reading factsheets,Webinars",,"Email,Newspaper,Radio,Telephone,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Man,,White,,English,,"Less than $50,000 per year",,,,,,,,,,
91207,SouthernCalifornia,Los Angeles,R_1BVPAoncY7Dz2xV,anonymous,Yes,No,Retrofitted home with ignition and/or ember resistant materials,"Cost,Lack of knowledge, information, or resources,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Home hardening,Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Mail,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,Yes,Prefer not to answer,Prefer not to answer,,Prefer not to answer,,English,,Prefer not to state,,,,,,,,,,
91214,SouthernCalifornia,Los Angeles,R_6uistut7BygrmPD,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Permitting,Time",,Yes,Weed trimming and/or mowing grass,,Other (please specify),,,,,,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Evacuation planning",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,"Email,Text Message,Website",,Rural,21-100 acres,"Farming and/or agriculture,Livestock/grazing,Recreation,Wildlife habitat",,Yes,Over 70,Prefer not to answer,,Prefer not to answer,,English,,"Less than $50,000 per year",,,,,,,,,,
91362,SouthernCalifornia,Ventura,R_3qUQoKGKeuRLEzu,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Cost,Existing home design constraints,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Available grants for fuels reduction treatments and how to apply,Home hardening,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Webinars",,"Email,Website",,,,,,,,Man,,White,,English,,,,,,,,,,,,
91377,SouthernCalifornia,Ventura,R_3fI5IV7j7NbXrUm,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Availability of contractors,Local and/or Homeowners Association rules and regulations,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Defensible space,Ecosystem restoration,Reducing health impacts from wildfire smoke",,"Community events or town halls,Webinars",,"Email,Text Message",,,,,,,,Woman,,White,,English,,,,,,,,,,,,
91607,SouthernCalifornia,Los Angeles,R_1kZGo8RGL7o3c1m,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources",,Yes,Hand thinning and scattering small trees and brush ,,Did some myself and hired a contractor,,Out of pocket,,,,,,"Defensible space,Ecosystem restoration,Home hardening",,"In-person workshops,Watching short videos,Webinars",,"Email,Social media ",,,,,,,,Man,,White,,English,,,,,,,,,,,,
91745,SouthernCalifornia,Los Angeles,R_2SqmAtluz1jSAti,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,,,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping)",,Did it myself,,Out of pocket,,,,,,"Defensible space,Ecosystem restoration,Home hardening",,"In-person workshops,Watching short videos",,Email,,,,,,,,Man,,White,,English,,,,,,,,,,,,
91750,SouthernCalifornia,Los Angeles,R_25BH9S1OkvRr8hI,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Availability of contractors,Cost,Existing home design constraints",,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Ecosystem restoration,Post-wildfire recovery,Reducing health impacts from wildfire smoke",,"Community events or town halls,Watching short videos",,Email,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use,Recreation",,,61-70,Man,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,"Greater than $150,000 per year",,,,,,,,,,
91754,SouthernCalifornia,Los Angeles,R_2q4r6BudDbz58tt,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Availability of contractors,Cost,Lack of knowledge, information, or resources",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Ecosystem restoration,Grazing for fuels reduction,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Watching short videos",,Website,,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,31-40,Man,,"American Indian or Alaskan Native,White",,English,,"$50,000 - $100,000 per year",,,,,,,,,,
91761,SouthernCalifornia,San Bernardino,R_wQSbbRWJn5Ij3vH,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.","Existing home design constraints,Lack of knowledge, information, or resources,Permitting",,Yes,"Burning piles of cut trees and brush,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Weed trimming and/or mowing grass",,Hired a contractor,,Out of pocket,,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Home hardening,Post-wildfire recovery",,"Field tours to local properties,In-person workshops,Reading factsheets",,"Email,Newspaper,Social media ",,,,,,,,Man,,Prefer not to answer,,"English,Spanish",,,,,,,,,,,,
91789,SouthernCalifornia,Los Angeles,R_28Zd55jIlVTrFOC,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Local and/or Homeowners Association rules and regulations,Time",,Yes,"Burning piles of cut trees and brush,Prescribed fire (a controlled fire set intentionally to meet management objectives under applicable laws and regulations),Weed trimming and/or mowing grass",,Hired a contractor,,Out of pocket,,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Ecosystem restoration,Home hardening",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,Newspaper,Social media ",,,,,,,,Prefer not to answer,,Prefer not to answer,,English,,,,,,,,,,,,
91910,SouthernCalifornia,San Diego,R_T4TrENYRQn8S8c9,anonymous,Yes,No,Other (please specify):,Other (please specify),I am a renter and dont have say on these things so I havent considered these options.,Yes,Other (please specify):,I rent but the gardeners do a good job of keeping the place tidy.,Other (please specify),Apt gardeners maintain the place tidy,,,,,,,"Defensible space,Evacuation planning,Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Watching short videos,Webinars",,"Email,Newspaper,Social media ",,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,,31-40,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,"English,Spanish",,"$50,000 - $100,000 per year",,,,,,,,,,
91935,SouthernCalifornia,San Diego,R_2OUBIYXDpBfeJa8,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ","Cost,Existing home design constraints,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Home hardening",,"Reading factsheets,Watching short videos",,Email,,,,,,,,Man,,White,,English,,,,,,,,,,,,
91935,SouthernCalifornia,San Diego,R_2Cy1Lgmkm0tX8bz,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),No, I have not completed home retrofitting or remodeling","Lack of knowledge, information, or resources",,No,,,,,,,,,,,"Grazing for fuels reduction,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Watching short videos,Webinars",,"Email,In-person,Mail,Radio,Text Message,Website",,Suburban,,"Not applicable, my property is only used for residential use",,No,31-40,Woman,,Asian,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
91935,SouthernCalifornia,San Diego,R_eaFu9Y4X5pCzH7X,anonymous,Yes,No,"I am considering retrofitting or remodeling, but am unsure of what actions to take.,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Lack of knowledge, information, or resources",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,No,Information about planning and implementation,,"Ecosystem restoration,Evacuation planning",,"Reading factsheets,Watching short videos,Webinars",,"Email,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
91942,SouthernCalifornia,San Diego,R_3fplHYHjzrcuSst,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Availability of contractors,Cost,Time",,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,,,,"Available grants for fuels reduction treatments and how to apply,Grazing for fuels reduction,Home hardening",,Webinars,,"Email,In-person,Mail,Website",,Rural,6-10 acres,Wildlife habitat,,,Over 70,Woman,,White,,English,,"Less than $50,000 per year",,,,,,,,,,
91945,SouthernCalifornia,San Diego,R_3p9AkmcjhYssAaU,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints,Permitting",,Yes,Hand thinning and scattering small trees and brush ,,Did some myself and hired a contractor,,Out of pocket,,,,,,"Ecosystem restoration,Home hardening,Post-wildfire recovery",,"In-person workshops,Reading factsheets,Watching short videos",,"Email,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Woman,,White,,English,,Prefer not to state,,,,,,,,,,
92009,SouthernCalifornia,San Diego,R_3RaT5lsTN7ZKfLj,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Existing home design constraints",,Yes,Other (please specify):,Taken down vines,Did some myself and hired a contractor,,Out of pocket,,,,,,"Defensible space,Evacuation planning,Reducing health impacts from wildfire smoke",,"Community events or town halls,In-person workshops,Reading factsheets,Watching short videos,Webinars,Other (please specify)",Meeting with local police and firefighters ,"Email,In-person,Website",,Suburban,0-5 acres,,,No,51-60,Woman,,White,,English,,Prefer not to state,,,,,,,,,,
92011,SouthernCalifornia,San Diego,R_3mjV0DgLHMZS9Va,anonymous,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Cost,Lack of knowledge, information, or resources",,Yes,Weed trimming and/or mowing grass,,Did some myself and hired a contractor,,Out of pocket,,,,,,"Evacuation planning,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Text Message,Website",,,,,,,,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,,,,,,,,,,,
92019,SouthernCalifornia,San Diego,R_OBFhmISc4IVsW1H,anonymous,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Lack of knowledge, information, or resources",,Yes,"Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did it myself,,"Out of pocket,Grants",Other (please specify),Sunrise power link grant,Unsure,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Available grants for fuels reduction treatments and how to apply,Evacuation planning,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Watching short videos,Webinars",,"Email,Website",,Rural,21-100 acres,Farming and/or agriculture,,Yes,51-60,Man,,White,,English,,"$100,001 - $150,000 per year",,,,,,,,,,
92021,SouthernCalifornia,San Diego,R_1o7MRfcbzHrvs3e,anonymous,Yes,No,"No, I have not completed home retrofitting or remodeling","Cost,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,No,,,,,,,,,,,"Ecosystem restoration,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets",,"Email,Website",,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Man,,White,,English,,"$50,000 - $100,000 per year",,,,,,,,,,
