Progress,Duration (in seconds),Finished,ResponseId,Q1-Intro,Q3-Intro,Q14,Q15,Q15_11_TEXT,Q17,Q18,Q18_11_TEXT,Q19,Q19_4_TEXT,Q20,Q21,Q21_13_TEXT,Q24,Q25,Q25_13_TEXT,Q32,Q32_14_TEXT,Q33,Q33_17_TEXT,Q34,Q34_23_TEXT,Q35_8_TEXT,Q14-FNR,Q36,County,Q37,Q38,Q39,Q39_12_TEXT,Q40,Q41,Q42,Q42_4_TEXT,Q43,Q43_7_TEXT,Q44,Q44_14_TEXT,Q45
100,411,TRUE,R_2X1JcAZM4jQnfNX,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,No, I have not completed home retrofitting or remodeling","Availability of contractors,Existing home design constraints,Permitting,Time",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did it myself,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Grazing for fuels reduction,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos",,"Email,Newspaper,Website",,,,94507,Contra Costa,,,,,,,Man,,Other (please specify),Scandinavian,"English,Other (please specify)",Norwegian,
100,577,TRUE,R_1Qi6ZHT5Zoj20MD,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Grazing for fuels reduction,Post-wildfire recovery",,"Field tours to local properties,In-person workshops",,Email,,,No,,,,,,,,,Man,,White,,English,,
100,580,TRUE,R_2tzfxn3M5bSniG6,Yes,Yes,,,,,,,,,,,,,,,"Defensible space,Evacuation planning,Home hardening",,Community events or town halls,,Email,,,Yes,,,Rural,0-5 acres,Wildlife habitat,,No,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1850,TRUE,R_cPkOi23xIE8Ojw5,Yes,Yes,,,,,,,,,,,,,,,"Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Webinars",,Email,,,Yes,,,,,,,,,Man,,White,,English,,
100,2250,TRUE,R_9RBKn3zUsdPcZTb,Yes,Yes,,,,,,,,,,,,,,,"Defensible space,Evacuation planning,Grazing for fuels reduction",,"Field tours to local properties,In-person workshops",,Email,,,Yes,,,Rural,101-1000 acres,"Livestock/grazing,Recreation,Wildlife habitat",,Yes,61-70,Man,,White,,English,,"$50,000 - $100,000 per year"
100,689,TRUE,R_1Fx4szx3WcRvZyz,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Website",,,Yes,,,Rural,101-1000 acres,"Livestock/grazing,Private forestry or timber production,Wildlife habitat",,No,51-60,Man,,White,,English,,"Greater than $150,000 per year"
100,875,TRUE,R_3g72Z9bG53wG39D,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc),Permitting for fuels mitigation work,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops",,"Email,Social media ",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,No,Over 70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,5148,TRUE,R_3Oom55OJacVeycQ,Yes,No,"Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Cost,Permitting,Time",,Yes,"Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Worked with neighbors or community group,,"Out of pocket,My only cost was personal labor (myself, friends, and family)",,,Unsure,Other (please explain),understanding if its safe in our area (near Skyline),"Available grants for fuels reduction treatments and how to apply,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,"In-person workshops,Webinars,Other (please specify)",learning more about shelter in place ,Email,,,,95033,Santa Clara,Rural,Greater than 1000 acres,"Farming and/or agriculture,Wildlife habitat",,Yes,Over 70,Prefer not to answer,,White,,English,,"$50,000 - $100,000 per year"
100,571,TRUE,R_2fpLD8CDOYFTEl4,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Removed vegetation and other combustible material within the first 0-5 feet of my home ",Permitting,,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Targeted grazing,Weed trimming and/or mowing grass",,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,Yes,"Clarity on relevant laws and liability associated with burning,Help preparing my property to conduct a prescribed burn,Information about prescribed fire benefits,Information about planning and implementation,Training to learn how to safely conduct a prescribed burn",,"Defensible space,Home hardening,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Webinars",,"Email,In-person,Mail,Website",,,,95066,Santa Cruz,,,,,,,Woman,,White,,English,,
100,1030,TRUE,R_3QWOwwHf9KQwzQp,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,Webinars,,Email,,,No,,,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,61-70,Woman,,"Hispanic, Latino/a/x, or other Spanish origin",,English,,Prefer not to state
100,543,TRUE,R_2tfhxrEcG3hBQ0h,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Permitting for fuels mitigation work,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties,In-person workshops",,"Email,In-person,Mail,Text Message,Website",,,Yes,,,Rural,,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,"Less than $50,000 per year"
100,777,TRUE,R_3JE0EdzAhr9xpUp,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Communicating with my landlord or property manager,Other (please specify)",,Yes,Weed trimming and/or mowing grass,,Did it myself,,"My only cost was personal labor (myself, friends, and family)",,,No,Other (please explain),It's not my property ,"Ecosystem restoration,Prescribed fire planning and implementation,Other (please specify)",Indigenous burning,In-person workshops,,"Email,In-person,Social media ",,,,95073,Santa Cruz,Rural,0-5 acres,"Not applicable, my property is only used for residential use,Wildlife habitat",,No,61-70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,417,TRUE,R_1OVxNmbeXkJm6hp,Yes,Yes,,,,,,,,,,,,,,,"Home hardening,Permitting for fuels mitigation work,Post-wildfire recovery",,"Community events or town halls,Field tours to local properties,In-person workshops,Watching short videos,Webinars",,"Email,Website",,,Yes,,,Urban,,Private forestry or timber production,,No,61-70,Man,,White,,English,,"Greater than $150,000 per year"
100,744,TRUE,R_3im95KxYvN4UGuU,Yes,No,"Purchased a backup power source (e.g., generator),Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Existing home design constraints",,Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,"Out of pocket,Cost-share agreements",Other (please specify),State water reduction cost share program,,,,"Defensible space,Home hardening,Prescribed fire planning and implementation",,"Community events or town halls,Webinars",,Email,,,,92024,San Diego,,,,,,,Woman,,White,,English,,
100,583,TRUE,R_1fadDI2sbpHAhPQ,Yes,Yes,,,,,,,,,,,,,,,"Home hardening,Permitting for fuels mitigation work,Reducing health impacts from wildfire smoke",,"Community events or town halls,Field tours to local properties,In-person workshops,Reading factsheets,Watching short videos,Webinars",,Email,,,Yes,,,Suburban,0-5 acres,"Carbon sequestration credits,Recreation,Wildlife habitat",,No,61-70,Woman,,White,,English,,"Less than $50,000 per year"
100,999,TRUE,R_1JEMt5vqbE5xlxY,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Removed vegetation and other combustible material within the first 0-5 feet of my home ,No, I have not completed home retrofitting or remodeling,Other (please specify):","Availability of contractors,Cost,Time",,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,Other (please explain),"None of the above. My neighborhood is turning into a regular smoke tunnel with these burns, and my family's health is impacted.","Ecosystem restoration,Grazing for fuels reduction,Reducing health impacts from wildfire smoke",,"In-person workshops,Reading factsheets,Webinars",,Website,,,,95045,San Benito,,,,,,,Woman,,White,,English,,
100,1175,TRUE,R_3Pi5nkmetOFXAKq,Yes,Yes,,,,,,,,,,,,,,,"Permitting for fuels mitigation work,Prescribed fire planning and implementation",,In-person workshops,,"Email,Text Message",,,Yes,,,Suburban,0-5 acres,Wildlife habitat,,No,Over 70,Woman,,Prefer not to answer,,English,,"Less than $50,000 per year"
100,451,TRUE,R_3hlI5LaP6Y7eUMi,Yes,No,Purchased an air filtration system for home to use during wildfire smoke events,"Availability of contractors,Cost,Local and/or Homeowners Association rules and regulations",,Yes,"Removal of medium and large trees through timber harvest,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Hired a contractor,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Home hardening,Reducing health impacts from wildfire smoke",,"Field tours to local properties,In-person workshops,Watching short videos",,Email,,,,95119,Santa Clara,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,No,41-50,Woman,,White,,English,,Prefer not to state
100,571,TRUE,R_2rSMsKcYsf7t1wO,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Cost,Lack of knowledge, information, or resources,Local and/or Homeowners Association rules and regulations",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Defensible space,Evacuation planning,Prescribed fire planning and implementation",,"Community events or town halls,Other (please specify)","Getting our Enci it’s city council to acknowledge and take wild fires, evacuation and preparation seriously. ",Email,,,,92024,San Diego,Suburban,0-5 acres,"Not applicable, my property is only used for residential use,Recreation,Wildlife habitat",,No,Over 70,Woman,,White,,English,,"$100,001 - $150,000 per year"
100,812,TRUE,R_3OkLEj96wqNUh7c,Yes,No,"Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Cost,Existing home design constraints",,Yes,"Weed trimming and/or mowing grass,Other (please specify):",Trimming trees and removing some brush.,Did some myself and hired a contractor,,Out of pocket,,,,,,"Available grants for fuels reduction treatments and how to apply,Defensible space,Home hardening",,"Community events or town halls,In-person workshops,Reading factsheets,Watching short videos,Webinars",,"Email,In-person,Website",,,,92029,San Diego,Urban,0-5 acres,"Not applicable, my property is only used for residential use",,No,Over 70,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,55690,TRUE,R_x4w6O72o03xOyVb,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Post-wildfire recovery,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops,Watching short videos,Webinars",,"Email,Website",,,Yes,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,Prefer not to state
100,223,TRUE,R_3EAzV5AIEt0QqL4,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Prescribed fire planning and implementation",,"Community events or town halls,Field tours to local properties",,Email,,,Yes,,,,,,,,,Man,,Other (please specify),Ashkenazi,English,,
100,1645,TRUE,R_3rMvoTZG7MlYAQl,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Prescribed fire planning and implementation",,"Field tours to local properties,In-person workshops",,"In-person,Mail",,,Yes,,,Rural,0-5 acres,Farming and/or agriculture,,No,51-60,Man,,White,,English,,"Greater than $150,000 per year"
100,1089,TRUE,R_3FJ2U6l1C44s1pV,Yes,No,Removed vegetation and other combustible material within the first 0-5 feet of my home ,"Availability of contractors,Cost,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,Other (please explain),property is not large enough to warrant prescribed burn,"Available grants for fuels reduction treatments and how to apply,Post-wildfire recovery",,"Reading factsheets,Watching short videos",,"Email,Mail,Social media ,Website",,,,95954,Butte,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1117,TRUE,R_3PvRgeP8vAkaUay,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Lack of knowledge, information, or resources,Other (please specify)","Specifically, who makes the material for fire resistant decking, vents, etc",Yes,"Burning piles of cut trees and brush,Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,Unsure,"Help preparing my property to conduct a prescribed burn,Help navigating the permitting process,Information about planning and implementation,Labor resources,Training to learn how to safely conduct a prescribed burn",,"Grazing for fuels reduction,Home hardening,Mechanical fuels reduction treatments (forest thinning, chipping, mastication, etc)",,"Reading factsheets,Watching short videos,Webinars",,"Email,Social media ,Website",,Mastadon,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,51-60,Woman,,White,,English,,"Greater than $150,000 per year"
100,962,TRUE,R_1pLnvJuni7WeI1e,Yes,Yes,,,,,,,,,,,,,,,"Available grants for fuels reduction treatments and how to apply,Grazing for fuels reduction,Prescribed fire planning and implementation",,In-person workshops,,"Email,In-person,Telephone",,,No,,,,,,,,,Man,,White,,"English,Spanish",,
100,739,TRUE,R_pbbN2srxQVztjPP,Yes,No,"Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials","Availability of contractors,Permitting",,Yes,"Hand thinning and scattering small trees and brush ,Removal of medium and large trees through timber harvest,Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,,,,"Defensible space,Evacuation planning,Home hardening",,"Community events or town halls,Watching short videos,Webinars",,"Email,In-person,Mail,Newspaper,Radio,Social media ,Text Message,Website",,,,94605,Alameda,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,No,51-60,Woman,,White,,English,,"Greater than $150,000 per year"
100,19532,TRUE,R_88Jx1OHsKprXl3X,Yes,No,,Other (please specify),Lost home in wildfire without insurance as under construction. If we find money to rebuild we will make the home fire resistant.,Yes,"Burning piles of cut trees and brush,Weed trimming and/or mowing grass,Other (please specify):","We burn many piles every winter, and have been doing so for decades (burned several this morning), but maximum 4 foot diameter effectively makes it illegal (LE5 permit requires a burn plan and a contingency plan).  We burn piles only when it has rained or is raining,. ",Other (please specify),"Did it ourselves, but in the past have worked with neighbors to do work along the shared road, and the Governor's crews worked in the area (now grown back), and grant funded work has been done in the area (also grown back).  Over the years, most work done by ourselves.","Out of pocket,Grants,My only cost was personal labor (myself, friends, and family)",Other (please specify),"Governor's projects paid for by the state, other project a electric utility grant. Those projects were along roads, not our defensible space.",,,,Other (please specify),"X 3, Learning how to succeed at removing regulatory roadblocks to wildfire fuel reduction work.","Community events or town halls,In-person workshops,Webinars,Other (please specify)","Any other way to organize an effort to remove local, state, and federal regulatory roadblocks to wildfire fuel reduction work.",Email,,,,,,Suburban,0-5 acres,"Not applicable, my property is only used for residential use",,,61-70,Man,,White,,English,,Prefer not to state
100,529,TRUE,R_UWw5UHIiX2ol78t,Yes,No,"Purchased an air filtration system for home to use during wildfire smoke events,Purchased a backup power source (e.g., generator),Put up non-combustible, reflective signs/addressing on house,Removed vegetation and other combustible material within the first 0-5 feet of my home ,Retrofitted home with ignition and/or ember resistant materials",Permitting,,Yes,"Hand thinning and scattering small trees and brush ,Removal of small trees and brush with heavy equipment (e.g., mastication or chipping),Weed trimming and/or mowing grass",,Did some myself and hired a contractor,,Out of pocket,,,No,,,"Defensible space,Evacuation planning,Home hardening",,"Reading factsheets,Watching short videos,Webinars",,"Email,Website",,,,95033,Santa Clara,Rural,0-5 acres,"Not applicable, my property is only used for residential use",,,Over 70,Woman,,White,,English,,Prefer not to state
100,598,TRUE,R_1f2WWirdP2xd5cj,Yes,Yes,,,,,,,,,,,,,,,"Ecosystem restoration,Grazing for fuels reduction,Permitting for fuels mitigation work",,"Community events or town halls,Field tours to local properties,In-person workshops,Webinars",,Email,,,Yes,,,Rural,21-100 acres,"Livestock/grazing,Wildlife habitat",,No,51-60,Woman,,White,,English,,"$50,000 - $100,000 per year"
100,1348,TRUE,R_3oSzdJ1Ex990Ajv,Yes,No,,"Availability of contractors,Cost,Permitting",,Yes,"Burning piles of cut trees and brush,Other (please specify):",Removal of flammable invasive plants,Did it myself,,,,,,"Clarity on relevant laws and liability associated with burning,Help navigating the permitting process,Information about planning and implementation,Labor resources",,"Available grants for fuels reduction treatments and how to apply,Ecosystem restoration,Post-wildfire recovery,Other (please specify)",More than three apply,In-person workshops,,"Email,In-person,Mail,Telephone,Text Message,Website",,,,95006,Santa Cruz,,,,,,,Man,,Prefer not to answer,,English,,
